config,fid,seed,reported_best,true_best,reached,crashed,real_evals,counted_evals,stage,gens,zero_hq_rows
published,5,18,46.69993818105012,46.69993818105012,False,,29675,25050,2,1129,69
published,5,19,47.21786626398297,47.21786626398297,False,,29631,25020,2,1125,69
published,5,20,46.94846697433369,46.94846697433369,False,,29650,25035,2,1140,69
published,5,21,48.11701628011106,48.11701628011106,False,,29637,25055,2,1114,69
published,5,22,47.05107830583987,47.05107830583987,False,,29623,25055,2,1145,69
published,5,23,47.604817235703706,47.604817235703706,False,,29610,25030,2,1123,69
published,5,24,1.2799934718194337,1.2799934718194337,False,,29641,25130,2,1102,69
published,5,25,46.61378527291588,46.61378527291588,False,,30082,25015,2,377,69
published,5,26,0.747370515728829,0.747370515728829,False,,29494,25100,2,1099,69
published,5,27,47.44132018921942,47.44132018921942,False,,29612,25005,2,1124,69
published,5,28,46.92292479308072,46.92292479308072,False,,29776,25075,2,1134,69
published,5,29,46.83175581863538,46.83175581863538,False,,29597,25040,2,1150,69
published,5,30,46.76601569638867,46.76601569638867,False,,29604,25025,2,1123,69
published,6,1,0.0,0.0,True,,83,65,1,13,0
published,6,2,0.0,0.0,True,,82,65,1,13,0
published,6,3,0.0,0.0,True,,71,55,1,11,0
published,6,4,0.0,0.0,True,,100,80,1,16,0
published,6,5,0.0,0.0,True,,76,60,1,12,0
published,6,6,0.0,0.0,True,,65,50,1,10,0
published,6,7,0.0,0.0,True,,70,55,1,11,0
published,6,8,0.0,0.0,True,,77,60,1,12,0
published,6,9,0.0,0.0,True,,65,50,1,10,0
published,6,10,0.0,0.0,True,,71,55,1,11,0
published,6,11,0.0,0.0,True,,77,60,1,12,0
published,6,12,0.0,0.0,True,,65,50,1,10,0
published,6,13,0.0,0.0,True,,59,45,1,9,0
published,6,14,0.0,0.0,True,,71,55,1,11,0
published,6,15,0.0,0.0,True,,65,50,1,10,0
published,6,16,0.0,0.0,True,,53,40,1,8,0
published,6,17,0.0,0.0,True,,59,45,1,9,0
published,6,18,0.0,0.0,True,,71,55,1,11,0
published,6,19,0.0,0.0,True,,71,55,1,11,0
published,6,20,0.0,0.0,True,,71,55,1,11,0
published,6,21,0.0,0.0,True,,77,60,1,12,0
published,6,22,0.0,0.0,True,,71,55,1,11,0
published,6,23,0.0,0.0,True,,77,60,1,12,0
published,6,24,0.0,0.0,True,,77,60,1,12,0
published,6,25,0.0,0.0,True,,65,50,1,10,0
published,6,26,0.0,0.0,True,,71,55,1,11,0
published,6,27,0.0,0.0,True,,71,55,1,11,0
published,6,28,0.0,0.0,True,,71,55,1,11,0
published,6,29,0.0,0.0,True,,71,55,1,11,0
published,6,30,0.0,0.0,True,,71,55,1,11,0
published,7,1,0.0002501171290675453,0.8602707947724433,False,,29240,25100,2,196,69
published,7,2,7.324921352252697e-05,0.10047785845002283,False,,29120,25100,2,193,69
published,7,3,0.00020825971479614496,0.3507181013426384,False,,29240,25100,2,196,69
published,7,4,0.00011758388907707223,0.10974852443641109,False,,29320,25100,2,198,69
published,7,5,8.188989020057469e-05,0.1330260574281557,False,,29320,25300,2,193,69
published,7,6,9.077736984966186e-05,0.10079595551078682,False,,29261,25085,2,197,69
published,7,7,8.644201874769662e-05,0.11359411386283319,False,,29160,25100,2,194,69
published,7,8,0.0004454607382958937,0.5120957090453521,False,,29120,25100,2,193,69
published,7,9,0.0004298773607844803,0.2908009461048312,False,,29480,25300,2,197,69
published,7,10,0.0003484307852599755,0.5764967689206733,False,,29200,25100,2,195,69
published,7,11,0.00021303852127017262,0.2809135851635276,False,,29440,25300,2,196,69
published,7,12,0.0002369593925933789,0.7382877984908625,False,,29160,25100,2,194,69
published,7,13,0.00013453922100360575,0.700277190959378,False,,29400,25300,2,195,69
published,7,14,0.00041741582645826844,0.07089694800362178,False,,29160,25100,2,194,69
published,7,15,0.00011434294009625617,0.30497683687831345,False,,29200,25100,2,195,69
published,7,16,0.0002589203386093101,0.26323962901562625,False,,29160,25100,2,194,69
published,7,17,0.00011354914681282633,0.3110249127807132,False,,29160,25100,2,194,69
published,7,18,0.0002426373595888668,0.7116676110428949,False,,29320,25300,2,193,69
published,7,19,0.00030075515975466614,0.5073871451824178,False,,29200,25100,2,195,69
published,7,20,3.547629194619054e-05,0.5918436634446382,False,,29160,25100,2,194,69
published,7,21,0.0003133798135213502,0.2332847836064133,False,,29280,25100,2,197,69
published,7,22,5.229391982940365e-05,0.5814196141624166,False,,29160,25100,2,194,69
published,7,23,3.571234007855541e-05,0.7491234318366151,False,,29280,25100,2,197,69
published,7,24,0.0002579047261046948,0.6109751301765508,False,,29200,25100,2,195,69
published,7,25,7.95713595591145e-05,0.9553925703482298,False,,29200,25000,2,1075,69
published,7,26,0.00010447912090422631,0.416071488695594,False,,29120,25100,2,193,69
published,7,27,0.0001242543956044239,0.9651601113357761,False,,29120,25100,2,193,69
published,7,28,0.00013153159972792037,6.89694436849758e-05,False,,29320,25300,2,193,69
published,7,29,0.0003905047769757287,0.89428454058624,False,,29280,25100,2,197,69
published,7,30,0.0002189581305663701,0.34864871125911734,False,,29400,25300,2,195,69
published,8,1,-17957.729535957,-17957.729535957,False,,29676,25040,2,213,69
published,8,2,-15024.094665235038,-15024.094665235038,False,,30046,25075,2,228,69
published,8,3,-20857.435530358107,-20857.435530358107,False,,29676,25045,2,1087,69
